(ddp_env) [curso370@login209-18 logs]$ cat gpu_usage_11807744.log
timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/15 01:09:06.306, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:11.307, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:11.307, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:16.307, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:16.307, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:21.307, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:21.307, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:26.308, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:26.308, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:31.308, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:31.308, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:36.308, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:36.308, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:41.309, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:41.309, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:46.309, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:46.309, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:51.309, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:51.309, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:56.311, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:09:56.311, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:01.325, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:01.325, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:06.342, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:06.342, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:11.356, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:11.356, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:16.371, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:16.371, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:21.372, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:21.372, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:26.372, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:26.372, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:31.375, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:31.375, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:36.375, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:36.375, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:41.375, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:41.376, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:46.376, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:46.376, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:51.376, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:51.376, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:56.377, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:10:56.377, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:01.377, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:01.377, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:06.377, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:06.377, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:11.378, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:11.378, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:16.438, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:16.438, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:21.438, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:21.438, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:26.439, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:26.439, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:31.439, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:31.439, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:36.439, 0, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:36.439, 1, NVIDIA A100-PCIE-40GB, 0 %, 4 MiB, 40960 MiB
2025/04/15 01:11:41.440, 0, NVIDIA A100-PCIE-40GB, 0 %, 499 MiB, 40960 MiB
2025/04/15 01:11:41.440, 1, NVIDIA A100-PCIE-40GB, 2 %, 499 MiB, 40960 MiB
2025/04/15 01:11:46.440, 0, NVIDIA A100-PCIE-40GB, 0 %, 501 MiB, 40960 MiB
2025/04/15 01:11:46.440, 1, NVIDIA A100-PCIE-40GB, 0 %, 501 MiB, 40960 MiB
2025/04/15 01:11:51.441, 0, NVIDIA A100-PCIE-40GB, 0 %, 1861 MiB, 40960 MiB
2025/04/15 01:11:51.441, 1, NVIDIA A100-PCIE-40GB, 0 %, 1861 MiB, 40960 MiB
2025/04/15 01:11:56.441, 0, NVIDIA A100-PCIE-40GB, 0 %, 1861 MiB, 40960 MiB
2025/04/15 01:11:56.441, 1, NVIDIA A100-PCIE-40GB, 0 %, 1861 MiB, 40960 MiB
2025/04/15 01:12:01.441, 0, NVIDIA A100-PCIE-40GB, 0 %, 1861 MiB, 40960 MiB
2025/04/15 01:12:01.441, 1, NVIDIA A100-PCIE-40GB, 0 %, 1861 MiB, 40960 MiB
2025/04/15 01:12:06.442, 0, NVIDIA A100-PCIE-40GB, 0 %, 1861 MiB, 40960 MiB
2025/04/15 01:12:06.442, 1, NVIDIA A100-PCIE-40GB, 0 %, 1861 MiB, 40960 MiB
2025/04/15 01:12:11.442, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:11.442, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:16.584, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:16.584, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:21.604, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:21.604, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:26.629, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:26.629, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:31.649, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:31.649, 1, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:36.672, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:36.672, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:41.685, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:41.685, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:46.686, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:46.686, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:51.693, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:51.693, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:56.693, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:12:56.694, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:01.694, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:01.694, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:06.694, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:06.694, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:11.703, 0, NVIDIA A100-PCIE-40GB, 95 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:11.703, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:16.703, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:16.703, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:21.704, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:21.704, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:26.710, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:26.710, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:31.713, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:31.713, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:36.727, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:36.728, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:41.729, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:41.729, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:46.729, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:46.729, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:51.732, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:51.732, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:56.894, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:13:56.894, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:14:01.895, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
