[curso370@login210-18 deliverable_1]$ tail -n 100 gpu_usage.log
2025/03/09 23:27:01.639, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:27:11.640, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:27:21.641, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:27:31.641, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:27:41.642, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:27:51.642, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:28:01.643, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:28:11.644, NVIDIA A100-PCIE-40GB, 83 %, 55 %, 40960 MiB, 7275 MiB
2025/03/09 23:28:21.644, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:28:31.645, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:28:41.645, NVIDIA A100-PCIE-40GB, 83 %, 55 %, 40960 MiB, 7275 MiB
2025/03/09 23:28:51.646, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:29:01.647, NVIDIA A100-PCIE-40GB, 82 %, 53 %, 40960 MiB, 7275 MiB
2025/03/09 23:29:11.647, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:29:21.648, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:29:31.648, NVIDIA A100-PCIE-40GB, 81 %, 53 %, 40960 MiB, 7275 MiB
2025/03/09 23:29:41.649, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:29:51.650, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:30:01.650, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:30:11.651, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:30:21.651, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:30:31.652, NVIDIA A100-PCIE-40GB, 83 %, 55 %, 40960 MiB, 7275 MiB
2025/03/09 23:30:41.653, NVIDIA A100-PCIE-40GB, 83 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:30:51.653, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:31:01.654, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:31:11.655, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:31:21.655, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:31:31.656, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:31:41.656, NVIDIA A100-PCIE-40GB, 79 %, 52 %, 40960 MiB, 7275 MiB
2025/03/09 23:31:51.657, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:32:01.658, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:32:11.658, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
2025/03/09 23:32:21.659, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:32:31.659, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:32:41.660, NVIDIA A100-PCIE-40GB, 84 %, 56 %, 40960 MiB, 7275 MiB
2025/03/09 23:32:51.661, NVIDIA A100-PCIE-40GB, 82 %, 54 %, 40960 MiB, 7275 MiB
